공구번호,보유,위치,공유
278 589 01 15 00,1,10월 03일, -
278 589 01 63 00,-,-,공유
279 589 00 63 00,-,-,
282 589 00 21 00,-,-,공유
282 589 00 23 00,1,10월 03일,-
282 589 00 33 00,1,10월 04일,-
282 589 00 40 00,-,-,공유
282 589 00 43 00,1,10월 04일,-
285 589 00 21 00 ,1,01월 01일, -
285 589 00 34 00,1,10월 04일,공유
285 589 00 40 00,1,10월 04일, -
285 589 01 03 00,-,-,공유
285 589 01 21 00,1,10월 08일, -
285 589 01 40 00,-,-,공유
285 589 01 61 00,-,-,공유
285 589 02 21 00,1,10월 04일,-
290 589 00 15 00,1,10월 04일,-
290 589 01 15 00,1,10월 04일,-
292 589 00 40 00,1,10월 04일,-
293 589 00 23 00,1,07월 15일,-
297 589 00 15 00,1,04월 15일,-
297 589 00 31 00,1,03월 15일,-
305 589 00 15 00,-,-,공유
312 589 05 15 00,-,-,공유
318 589 00 35 00,-,-,공유
343 589 03 15 00,-,-,공유
352 589 04 15 00,-,-,공유
360 589 00 15 00,-,-,공유
385 589 03 15 00,-,-,공유
387 589 04 15 00,-,-,공유
450 589 17 21 00,1,10월 05일,"일부
공유"
451 589 08 63 00,1,04월 15일,-
452 589 01 63 00,1,10월 05일,
453 589 00 63 05,-,-,공유
453 589 00 63 06,-,-,공유
460 589 01 07 00,1,10월 05일, -
460 589 01 23 00,-,-,공유
460 589 01 31 00,-,-,공유
460 589 02 33 00,-,-,공유
460 589 05 31 00,-,-,공유
460 589 15 15 00,-,-,공유
460 589 18 15 00,-,-,공유
460 589 19 15 00,-,-,공유
463 589 00 07 00,-,-,공유
463 589 00 15 00,-,-,공유
463 589 00 21 00,-,-,공유
463 589 00 33 00,-,-,공유
463 589 00 34 00,-,-,공유
463 589 00 63 00,-,-,공유
463 589 01 34 00,-,-,공유
463 589 01 63 00,1,10월 05일, -
463 589 02 31 00,-,-,공유
463 589 02 34 00,-,-,공유
463 589 03 34 00,-,-,공유
463 589 04 23 00,-,-,공유
463 589 04 34 00,-,-,공유
463 589 05 34 00,-,-,공유
470 589 14 15 00,-,-,공유
601 589 00 10 00,1,10월 05일, -
601 589 02 63 00,-,-,공유
601 589 04 33 00,-,-,공유
602 589 00 10 00,1,10월 05일, -
602 589 00 33 00,1,10월 05일, -
602 589 00 33 02,1,10월 05일,
602 589 02 33 00,-,-,공유
602 589 02 40 00,-,-,공유
602 589 02 63 00,-,-,공유
602 589 03 63 00,-,-,공유
602 589 04 63 00,-,-,공유
602 589 04 63 01,-,-,공유
602 589 05 63 00,-,-,공유
603 589 00 40 00,1,10월 05일,
602 589 05 63 01,-,-,공유
605 589 00 33 00,1,10월 05일, -
606 589 00 37 00,1,10월 06일, -
607 589 00 15 00,-,-,공유
607 589 00 31 00,-,-,공유
607 589 00 43 00,-,-,공유
607 589 00 63 00,1,10월 01일, -
607 589 00 91 00,1,10월 06일, -
607 589 01 15 00,1,10월 06일, -
607 589 01 40 00,-,-,공유
607 589 01 43 00,-,-,공유
607 589 01 63 00,1,10월 06일, -
607 589 01 91 00,1,10월 06일, -
607 589 02 43 00,-,-,공유
607 589 02 63 00,1,10월 06일, -
607 589 02 91 00,-,-,공유
607 589 03 43 00,-,-,공유
607 589 03 63 00,1,10월 06일, -
607 589 03 91 00,-,-,공유
607 589 04 43 00,-,-,공유
607 589 04 63 00,1,10월 06일, -
607 589 05 43 00,-,-,공유
607 589 05 63 00,1,10월 06일,-
607 589 06 43 00,-,-,공유
608 589 00 15 00,,,공유
608 589 00 40 00 ,1,10월 07일,-
608 589 00 61 00,-,-,공유
608 589 00 63 00,-,-,공유
608 589 00 91 00,-,-,공유
608 589 01 40 00,1,10월 07일,-
611 589 00 21 00,1,10월 07일,
611 589 00 33 00,1,10월 07일,
611 589 00 37 00,2,10월 07일, -
611 589 00 63 00,1,10월 07일, -
611 589 00 68 00,1,10월 07일, -
611 589 01 63 00,1,11월 02일, -
611 589 02 21 00,1,11월 02일, -
611 589 02 63 00,1,11월 02일, -
611 589 04 21 00,1,11월 02일,
613 589 00 33 00,-,-,공유
617 589 00 10 00,1,11월 03일,
626 589 00 15 00,-,-,공유
626 589 00 40 00,1,11월 03일, -
626 589 00 61 00,-,-,공유
626 589 01 40 00,-,-,공유
626 589 01 63 00,-,-,공유
626 589 01 91 00,1,11월 03일, -
626 589 02 40 00,1,11월 03일, -
626 589 03 40 00,-,-,공유
626 589 04 40 00,1,11월 03일, -
639 589 01 07 00,-,-, -
639 589 01 31 00,1,11월 03일,공유
640 589 00 63 00 ,1,11월 04일, -
640 589 01 91 00,1,11월 04일, -
642 589 00 09 00,1,11월 04일, -
642 589 00 14 00,-,-,공유
642 589 00 21 00,1,11월 04일, -
642 589 00 31 00,1,11월 04일, -
642 589 00 33 00,1,11월 04일,공유
642 589 00 40 00,-,-,공유
642 589 00 91 00,-,-,공유
642 589 00 99 00,-,-,공유
642 589 00 63 00,1,11월 04일,-
642 589 01 33 00,1,11월 04일, -
642 589 01 63 00,1,11월 04일, -
642 589 01 91 00,1,11월 04일, -
642 589 02 63 00,1,11월 05일, -
642 589 03 63 00,-,-,공유
642 589 04 40 00,1,11월 05일, -
642 589 05 63 00,-,-,공유
646 589 00 63 00,1,11월 05일,
